,productId,date,seller,price,link
305,10965,2023-04-27,coslovemetics,1296,https://coslovemetics.mk/product/cosrx-full-fit-propolis-light-ampoule-30ml/
306,10854,2023-04-27,coslovemetics,1226,https://coslovemetics.mk/product/purito-b5-panthenol-re-barrier-cream-80ml/
307,10908,2023-04-27,coslovemetics,1131,https://coslovemetics.mk/product/missha-perfect-covering-spf50-pa-bb-cream-23-sand-40ml/
308,11583,2023-04-27,yeppeuda,860,https://yeppeuda.mk/p/457/face-and-body-photostable-cream-for-baby-spf-50-50-ml
309,11368,2023-04-27,coslovemetics,269,https://coslovemetics.mk/product/eyenlip-ceramide-rice-cleansing-foam-100ml/
310,10928,2023-04-27,coslovemetics,1163,https://coslovemetics.mk/product/haruharu-wonder-black-rice-moisture-deep-cleansing-oil-150-ml/
311,10845,2023-04-27,coslovemetics,623,https://coslovemetics.mk/product/enough-collagen-moisture-foundation-23-100ml/
312,11555,2023-04-27,yeppeuda,730,https://yeppeuda.mk/p/255/body-mousse-blueberry-cheesecake-180ml
313,11443,2023-04-27,coslovemetics,532,https://coslovemetics.mk/product/pyunkang-yul-calming-low-ph-foaming-cleanser-150ml/
314,11390,2023-04-27,coslovemetics,1087,https://coslovemetics.mk/product/heimish-watermelon-moisture-soothing-gel-cream-110ml/
315,11310,2023-04-27,coslovemetics,1071,https://coslovemetics.mk/product/tocobo-bio-watery-sun-cream-spf50-pa-50-ml/
316,10966,2023-04-27,coslovemetics,359,https://coslovemetics.mk/product/cosrx-full-fit-propolis-synergy-toner-50ml/
317,11450,2023-04-27,coslovemetics,976,https://coslovemetics.mk/product/pyunkang-yul-deep-cleansing-oil-290ml/
318,11507,2023-04-27,yeppeuda,690,https://yeppeuda.mk/p/408/purifying-face-toner-100ml
319,11627,2023-04-27,yeppeuda,2490,https://yeppeuda.mk/p/104/dr-jart-cicapair-sleepair-ampoule-in-mask-110ml
320,11172,2023-04-27,coslovemetics,768,https://coslovemetics.mk/product/benton-air-fit-uv-defense-sun-cream-50ml-spf-50-pa/
321,11279,2023-04-27,coslovemetics,1044,https://coslovemetics.mk/product/marymay-collagen-booster-lotion-120ml/
322,11647,2023-04-27,yeppeuda,799,https://yeppeuda.mk/p/146/heimish-kit
323,11567,2023-04-27,yeppeuda,525,https://yeppeuda.mk/p/200/retinol-025-30ml
